time,random_seed,scenario_id,TGT_01_pos_x,TGT_01_pos_y,TGT_01_pos_z,INTERCEPTOR_01_pos_x,INTERCEPTOR_01_pos_y,INTERCEPTOR_01_pos_z,snr_db,miss_distance_m,g_force,track_status,missile_launched,TGT_01_rcs_instantaneous,TGT_01_rcs_mean,TGT_01_sigma_min,TGT_01_sigma_max,TGT_01_display_label
0.0,101,SU27_01_43km_head-on,42960.0,2005.0,3998.0,0.0,0.0,0.0,-0.73,0.0,0.0,SEARCHING,False,2.446,3.36685,3.0,15.0,Su-27 Flanker  —  σ=3–15 m²
0.1,101,SU27_01_43km_head-on,42920.0,2010.0,3996.0,0.0,0.0,0.0,-7.25,0.0,0.0,SEARCHING,False,0.3,3.36753,3.0,15.0,Su-27 Flanker  —  σ=3–15 m²
0.2,101,SU27_01_43km_head-on,42880.0,2015.0,3994.0,0.0,0.0,0.0,15.02,0.0,0.0,TENTATIVE,False,3.89386,3.36821,3.0,15.0,Su-27 Flanker  —  σ=3–15 m²
0.3,101,SU27_01_43km_head-on,42840.0,2020.0,3992.0,0.0,0.0,0.0,-0.93,0.0,0.0,TENTATIVE,False,0.70964,3.36889,3.0,15.0,Su-27 Flanker  —  σ=3–15 m²
0.4,101,SU27_01_43km_head-on,42800.0,2025.0,3990.0,0.0,0.0,0.0,-6.97,0.0,0.0,TENTATIVE,False,1.46262,3.36957,3.0,15.0,Su-27 Flanker  —  σ=3–15 m²
0.5,101,SU27_01_43km_head-on,42760.0,2030.0,3988.0,0.0,0.0,0.0,16.32,0.0,0.0,TENTATIVE,False,5.18991,3.37025,3.0,15.0,Su-27 Flanker  —  σ=3–15 m²
0.6,101,SU27_01_43km_head-on,42720.0,2035.0,3986.0,99.48,4.5,9.14,15.62,0.0,0.0,CONFIRMED,True,4.40112,3.37093,3.0,15.0,Su-27 Flanker  —  σ=3–15 m²
0.7,101,SU27_01_43km_head-on,42680.0,2040.0,3984.0,198.96,8.99,18.28,-6.84,42853.79,0.0,CONFIRMED,True,0.50017,3.37162,3.0,15.0,Su-27 Flanker  —  σ=3–15 m²
0.8,101,SU27_01_43km_head-on,42640.0,2045.0,3982.0,298.43,13.58,27.45,21.63,42714.06,1.95,CONFIRMED,True,17.4363,3.37231,3.0,15.0,Su-27 Flanker  —  σ=3–15 m²
0.9,101,SU27_01_43km_head-on,42600.0,2050.0,3980.0,397.89,18.34,36.69,15.74,42574.33,1.85,CONFIRMED,True,4.47713,3.373,3.0,15.0,Su-27 Flanker  —  σ=3–15 m²
